iter	Passed	Remaining
455	912	1088
456	914	1086
457	915	1083
458	917	1081
459	918	1078
460	920	1076
461	922	1073
462	923	1071
463	925	1068
464	927	1066
465	928	1064
466	930	1062
467	932	1060
468	934	1057
469	936	1055
470	938	1053
471	940	1051
472	942	1050
473	944	1047
474	946	1045
475	948	1043
476	950	1041
477	951	1039
478	953	1037
479	955	1035
480	957	1032
481	959	1030
482	961	1028
483	962	1026
484	964	1024
485	966	1022
486	968	1020
487	970	1018
488	972	1016
489	974	1014
490	976	1012
491	978	1009
492	980	1008
493	982	1005
494	983	1003
495	985	1001
496	987	999
497	989	997
498	991	995
499	994	994
500	997	993
501	999	991
502	1001	989
503	1003	987
504	1005	985
505	1008	984
506	1011	983
507	1013	981
508	1015	979
509	1017	977
510	1019	975
511	1021	973
512	1023	971
513	1025	969
514	1027	967
515	1029	965
516	1031	963
517	1033	961
518	1035	959
519	1037	958
520	1040	956
521	1042	954
522	1044	952
523	1046	951
524	1048	948
525	1050	946
526	1052	944
527	1054	942
528	1056	940
529	1058	938
530	1060	936
531	1062	934
532	1063	932
533	1065	929
534	1067	927
535	1069	925
536	1071	923
537	1073	921
538	1075	919
539	1077	917
540	1079	915
541	1081	913
542	1084	912
543	1086	911
544	1089	909
545	1090	907
546	1092	905
547	1095	903
548	1096	901
549	1099	899
550	1101	897
551	1103	895
552	1105	893
553	1107	891
554	1109	889
555	1111	887
556	1114	886
557	1116	884
558	1118	882
559	1119	879
560	1121	877
561	1123	875
562	1125	873
563	1127	871
564	1129	869
565	1130	867
566	1132	865
567	1134	862
568	1136	860
569	1137	858
570	1139	856
571	1141	854
572	1143	852
573	1145	849
574	1147	847
575	1149	845
576	1151	844
577	1153	842
578	1155	840
579	1157	838
580	1159	836
581	1161	833
582	1163	831
583	1164	829
584	1166	827
585	1168	825
586	1171	823
587	1173	822
588	1175	820
589	1177	818
590	1179	816
591	1181	814
592	1183	812
593	1185	810
594	1187	808
595	1189	806
596	1191	804
597	1193	802
598	1195	800
599	1198	798
600	1200	796
601	1202	794
602	1204	792
603	1206	791
604	1208	789
605	1210	787
606	1212	785
607	1214	783
608	1216	781
609	1219	779
610	1221	777
611	1223	775
612	1225	773
613	1227	771
614	1230	770
615	1232	768
616	1234	766
617	1236	764
618	1239	762
619	1241	760
620	1243	758
621	1245	757
622	1248	755
623	1250	753
624	1252	751
625	1255	749
626	1257	747
627	1259	746
628	1261	744
629	1263	742
630	1266	740
631	1268	738
632	1270	736
633	1272	734
634	1274	732
635	1276	730
636	1278	728
637	1281	726
638	1283	725
639	1285	723
640	1288	721
641	1290	719
642	1292	717
643	1294	715
644	1297	713
645	1299	712
646	1301	710
647	1304	708
648	1306	706
649	1308	704
650	1310	702
651	1312	700
652	1314	698
653	1316	696
654	1318	694
655	1320	692
656	1322	690
657	1324	688
658	1326	686
659	1328	684
660	1331	682
661	1333	680
662	1335	678
663	1337	676
664	1339	674
665	1341	672
666	1343	670
667	1346	669
668	1348	667
669	1350	664
670	1352	663
671	1354	661
672	1356	659
673	1359	657
674	1361	655
675	1363	653
676	1366	651
677	1368	649
678	1370	647
679	1372	645
680	1373	643
681	1375	641
682	1377	639
683	1378	636
684	1380	634
685	1381	632
686	1383	630
687	1385	628
688	1387	626
689	1389	624
690	1390	621
691	1392	619
692	1393	617
693	1395	615
694	1397	613
695	1398	610
696	1400	608
697	1402	606
698	1403	604
699	1405	602
700	1407	600
701	1408	598
702	1410	595
703	1412	594
704	1414	591
705	1416	589
706	1418	587
707	1420	585
708	1422	583
709	1423	581
710	1425	579
711	1427	577
712	1429	575
713	1430	573
714	1432	571
715	1434	568
716	1436	566
717	1437	564
718	1439	562
719	1441	560
720	1443	558
721	1445	556
722	1447	554
723	1449	552
724	1450	550
725	1453	548
726	1455	546
727	1457	544
728	1458	542
729	1460	540
730	1462	538
731	1464	536
732	1466	534
733	1468	532
734	1470	530
735	1472	528
736	1474	526
737	1476	524
738	1478	522
739	1480	520
740	1482	518
741	1484	516
742	1486	514
743	1488	512
744	1490	510
745	1493	508
746	1495	506
747	1497	504
748	1499	502
749	1501	500
750	1503	498
751	1505	496
752	1508	494
753	1510	492
754	1512	490
755	1514	488
756	1516	486
757	1518	484
758	1520	482
759	1523	481
760	1525	479
761	1527	477
762	1530	475
763	1532	473
764	1534	471
765	1536	469
766	1539	467
767	1541	465
768	1543	463
769	1545	461
770	1547	459
771	1549	457
772	1552	455
773	1554	454
774	1557	452
775	1559	450
776	1561	448
777	1563	446
778	1566	444
779	1568	442
780	1570	440
781	1572	438
782	1574	436
783	1576	434
784	1579	432
785	1581	430
786	1583	428
787	1585	426
788	1587	424
789	1590	422
790	1592	420
791	1594	418
792	1596	416
793	1598	414
794	1600	412
795	1602	410
796	1604	408
797	1606	406
798	1608	404
799	1610	402
800	1612	400
801	1614	398
802	1616	396
803	1618	394
804	1620	392
805	1622	390
806	1625	388
807	1627	386
808	1629	384
809	1631	382
810	1633	380
811	1635	378
812	1637	376
813	1639	374
814	1640	372
815	1642	370
816	1644	368
817	1645	366
818	1647	364
819	1648	361
820	1650	359
821	1651	357
822	1653	355
823	1655	353
824	1657	351
825	1658	349
826	1660	347
827	1662	345
828	1663	343
829	1665	341
830	1666	339
831	1668	336
832	1670	334
833	1672	332
834	1674	330
835	1675	328
836	1677	326
837	1679	324
838	1680	322
839	1682	320
840	1684	318
841	1686	316
842	1688	314
843	1689	312
844	1691	310
845	1693	308
846	1694	306
847	1696	304
848	1697	301
849	1699	299
850	1701	297
851	1702	295
852	1705	293
853	1706	291
854	1708	289
855	1709	287
856	1711	285
857	1713	283
858	1715	281
859	1716	279
860	1719	277
861	1722	275
862	1724	273
863	1725	271
864	1727	269
865	1730	267
866	1732	265
867	1734	263
868	1735	261
869	1737	259
870	1739	257
871	1740	255
872	1742	253
873	1744	251
874	1746	249
875	1749	247
876	1751	245
877	1753	243
